item,itemLabel,position,positionLabel,startDate,endDate
Q106928258,Kiril Petkov,,Prime Minister,2021-12-13,
Q12272416,Asen Vasilev,,Deputy Prime Minister for EU funds,2021-12-13,
Q12272416,Asen Vasilev,,Minister of Finance,2021-12-13,
Q110070893,Kalina Konstantinova,,Deputy Prime Minister for Good Governance,2021-12-13,
Q12283736,Korneliya Ninova,,Deputy Prime Minister for Economy and Industry,2021-12-13,
Q12283736,Korneliya Ninova,,Minister of Economy and Industry,2021-12-13,
Q110071439,Grozdan Karadjov,,Deputy Prime Minister for Regional Development and Public Works,2021-12-13,2022-06-08
Q110071439,Grozdan Karadjov,,Minister of Regional Development and Public Works,2021-12-13,2022-06-08
Q23661772,Borislav Sandov,,Deputy Prime Minister for Climate Policies,2021-12-13,
Q23661772,Borislav Sandov,,Minister of Environment and Water,2021-12-13,
Q28536878,Nikolai Denkov,,Minister of Education and Science,2021-12-13,
Q28599818,Boyko Rashkov,,Minister of Interior,2021-12-13,
Q28055319,Stefan Yanev,,Minister of Defense,2021-12-13,2022-03-01
Q111043880,Dragomir Zakov,,Minister of Defense,2022-03-01,
Q110153983,Asena Serbezova,,Minister of Health,2021-12-13,
Q110153814,Nikolai Sabev,,Minister of Transport and Communications,2021-12-13,
,Daniel Lorer,,Minister of Innovation and Growth,2021-12-13,
,Atanas Atanasov,,Minister of Culture,2021-12-13,
,Georgi Gyokov,,Minister of Labor and Social Policy,2021-12-13,
,Ivan Ivanov,,Minister of Agriculture,2021-12-13,
,Hristo Prodanov,,Minister of Tourism,2021-12-13,
,Teodora Genchovska,,Minister of Foreign Affairs,2021-12-13,2022-06-08
,Alexander Nikolov,,Minister of Energy,2021-12-13,2022-06-08
,Radostin Vassilev,,Minister of Sports,2021-12-13,2022-06-08
Q110207131,Nadezhda Yordanova,,Minister of Justice,2021-12-13,
,Bozhidar Bozhanov,,Minister of e-Government,2021-12-13,
