@@,itemlabel,item,startdate,enddate
---,Димитър Греков,Q956477,,
---,Григор Начович,Q3658170,,
---,Драган Цанков,Q521116,1880-11-28,1880-12-17
---,Драган Цанков,Q521116,1884-06-30,1885-01-31
---,Драган Цанков,Q521116,1886-08-12,1887-06-28
---,Васил Радославов,Q454661,1887-06-28,1887-08-20
---,Георги Странски,Q438829,1887-06-29,1887-08-20
---,Константин Стоилов,Q523488,1896-11-01,1899-01-18
---,Васил Радославов,Q454661,1900-11-27,1901-02-20
---,Александър Людсканов,Q12271511,1903-05-06,1907-02-26
---,Михаил Такев,Q12287154,1910-09-05,1911-03-16
---,Александър Людсканов,Q12271511,1911-07-11,1913-06-01
---,Васил Радославов,Q454661,1913-07-04,1915-09-21
---,Васил Радославов,Q454661,1916-09-07,1918-06-21
---,Михаил Такев,Q12287154,1918-06-21,1918-11-28
---,Александър Оббов,Q2648858,1923-02-09,1923-03-12
---,Андрей Ляпчев,Q447831,1926-01-04,1931-06-29
+++,Ангел Солаков,Q12271899,1969-02-27,1971-07-09
+++,Ангел Цанев,Q12271919,1971-07-09,1973-04-07
+++,Димитър Стоянов,Q12278624,1973-04-07,1976-06-17
+++,Димитър Стоянов,Q12278624,1976-06-17,1981-06-18
+++,Димитър Стоянов,Q12278624,1981-06-18,1986-06-19
+++,Димитър Стоянов,Q12278624,1986-06-19,1988-12-15
+++,Атанас Семерджиев,Q753398,1990-01-02,1990-02-08
+++,Атанас Семерджиев,Q753398,1990-02-08,1990-08-02
+++,Стоян Стоянов,Q12295608,1990-08-02,1990-09-05
+++,Пенчо Пенев,Q12290145,1990-09-05,1990-09-21
+++,Пенчо Пенев,Q12290145,1990-09-22,1990-12-20
+++,Христо Данов,Q9191111,1990-12-20,1991-11-08
+++,Йордан Соколов,Q4427187,1991-11-08,1992-12-30
+++,Виктор Михайлов,Q12275264,1992-12-30,1994-10-17
+++,Чавдар Червенков,Q12298971,1994-10-17,1995-01-25
+++,Любомир Начев,Q12285427,1995-01-25,1996-05-10
+++,Николай Добрев,Q11792153,1996-05-10,1997-02-12
+++,Богомил Бонев,Q4937696,1997-02-12,1997-05-21
+++,Богомил Бонев,Q4937696,1997-05-21,1999-12-21
+++,Емануил Йорданов,Q12279784,1999-12-21,2001-07-24
+++,Георги Петканов,Q11699668,2001-07-24,2005-08-16
+++,Румен Петков,Q9323969,2005-08-16,2008-04-24
+++,Михаил Миков,Q11778487,2008-04-24,2009-07-27
+++,Цветан Цветанов,Q244471,2009-07-27,2013-03-13
+++,Петя Първанова,Q7179447,2013-03-13,2013-05-29
+++,Цветлин Йовчев,Q12298809,2013-05-29,2014-08-06
+++,Йордан Бакалов,Q12282118,2014-08-06,2014-11-07
+++,Веселин Вучков,Q17409260,2014-11-07,2015-03-11
+++,Румяна Бъчварова,Q18535066,2015-03-11,2017-01-27
+++,Пламен Узунов,Q30237387,2017-01-27,2017-05-04
+++,Валентин Радев,Q17409484,2017-05-04,2018-09-20
+++,Младен Маринов,Q29918858,2018-09-20,2020-07-24
+++,Христо Терзийски,Q59651787,2020-07-24,2021-05-12
->,Бойко Рашков,Q28599818,2021-05-12,NULL->2021-09-16
+++,Бойко Рашков,Q28599818,2021-09-16,2021-12-13
+++,Бойко Рашков,Q28599818,2021-12-13,
